,Any,Codi_Barri,Codi_Districte,Domicilis,Nom_Barri,Nom_Districte,Ocupacio_ mitjana_(persones_per_domicili),Ocupacio_mitjana_(persones_ per_domicili),Poblacio
49,2011,50,8,5962,les Roquetes,Nou Barris,,2.69,16050
50,2011,51,8,5095,Verdun,Nou Barris,,2.43,12396
51,2011,52,8,10741,la Prosperitat,Nou Barris,,2.48,26594
52,2011,53,8,3069,la Trinitat Nova,Nou Barris,,2.5,7682
46,2011,47,8,913,Can Peguera,Nou Barris,,2.46,2249
52,2012,53,8,2998,la Trinitat Nova,Nou Barris,,2.6,7692
51,2012,52,8,10691,la Prosperitat,Nou Barris,,2.5,26515
50,2012,51,8,5090,Verdun,Nou Barris,,2.4,12407
49,2012,50,8,5937,les Roquetes,Nou Barris,,2.7,16018
48,2012,49,8,2788,Canyelles,Nou Barris,,2.6,7144
47,2012,48,8,6220,la Guineueta,Nou Barris,,2.4,15143
46,2012,47,8,920,Can Peguera,Nou Barris,,2.4,2242
42,2012,43,7,10770,Horta,Horta-Guinardó,,2.5,26816
44,2012,45,8,10140,Porta,Nou Barris,,2.4,24772
43,2012,44,8,10458,Vilapicina i la Torre Llobeta,Nou Barris,,2.4,25584
41,2012,42,7,176,la Clota,Horta-Guinardó,,2.6,456
40,2012,41,7,2204,la Vall d'Hebron,Horta-Guinardó,,2.5,5545
39,2012,40,7,2141,Montbau,Horta-Guinardó,,2.4,5090
38,2012,39,7,2868,Sant Genís dels Agudells,Horta-Guinardó,,2.4,6922
53,2012,54,8,716,Torre Baró,Nou Barris,,3.0,2178
45,2012,46,8,6126,el Turó de la Peira,Nou Barris,,2.5,15428
54,2012,55,8,3585,Ciutat Meridiana,Nou Barris,,3.0,10709
71,2012,72,10,10675,Sant Martí de Provençals,Sant Martí,,2.4,26152
56,2012,57,9,3513,la Trinitat Vella,Sant Andreu,,3.0,10487
37,2012,38,7,4658,la Teixonera,Horta-Guinardó,,2.4,11410
70,2012,71,10,8005,Provençals del Poblenou,Sant Martí,,2.5,19952
69,2012,70,10,8397,el Besòs i el Maresme,Sant Martí,,2.8,23732
68,2012,69,10,5264,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.4,12701
67,2012,68,10,13358,el Poblenou,Sant Martí,,2.5,32816
66,2012,67,10,3554,la Vila Olímpica del Poblenou,Sant Martí,,2.6,9322
65,2012,66,10,5864,el Parc i la Llacuna del Poblenou,Sant Martí,,2.4,14147
64,2012,65,10,10785,el Clot,Sant Martí,,2.5,27201
63,2012,64,10,16330,el Camp de l'Arpa del Clot,Sant Martí,,2.3,38232
62,2012,63,9,8834,Navas,Sant Andreu,,2.5,21728
61,2012,62,9,5965,el Congrés i els Indians,Sant Andreu,,2.4,14112
60,2012,61,9,11695,la Sagrera,Sant Andreu,,2.5,29038
59,2012,60,9,23242,Sant Andreu,Sant Andreu,,2.4,56204
58,2012,59,9,4700,el Bon Pastor,Sant Andreu,,2.8,12990
57,2012,58,9,941,Baró de Viver,Sant Andreu,,2.5,2393
55,2012,56,8,473,Vallbona,Nou Barris,,2.8,1329
36,2012,37,7,12963,el Carmel,Horta-Guinardó,,2.5,32323
1,2012,2,1,6892,el Barri Gòtic,Ciutat Vella,,2.4,16754
34,2012,35,7,15134,el Guinardó,Horta-Guinardó,,2.4,35697
14,2012,15,3,6652,Hostafrancs,Sants-Montjuïc,,2.4,16094
13,2012,14,3,4302,la Font de la Guatlla,Sants-Montjuïc,,2.4,10236
12,2012,13,3,11676,la Marina de Port,Sants-Montjuïc,,2.6,30256
11,2012,12,3,405,la Marina del Prat Vermell,Sants-Montjuïc,,2.6,1046
10,2012,11,3,16382,el Poble Sec,Sants-Montjuïc,,2.5,41380
9,2012,10,2,16596,Sant Antoni,Eixample,,2.3,38277
8,2012,9,2,24687,la Nova Esquerra de l'Eixample,Eixample,,2.3,57760
7,2012,8,2,18281,l'Antiga Esquerra de l'Eixample,Eixample,,2.3,41887
6,2012,7,2,18449,la Dreta de l'Eixample,Eixample,,2.4,43436
5,2012,6,2,22314,la Sagrada Família,Eixample,,2.3,52007
4,2012,5,2,13123,el Fort Pienc,Eixample,,2.5,32225
3,2012,4,1,10138,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.3,22873
2,2012,3,1,7114,la Barceloneta,Ciutat Vella,,2.2,15745
72,2012,73,10,11505,la Verneda i la Pau,Sant Martí,,2.5,29201
0,2012,1,1,17503,el Raval,Ciutat Vella,,2.8,49844
15,2012,16,3,7509,la Bordeta,Sants-Montjuïc,,2.5,18498
35,2012,36,7,3700,la Font d'en Fargues,Horta-Guinardó,,2.6,9498
16,2012,17,3,10076,Sants - Badal,Sants-Montjuïc,,2.4,24574
18,2012,19,4,19162,les Corts,Les Corts,,2.4,46698
33,2012,34,7,3782,Can Baró,Horta-Guinardó,,2.4,8990
32,2012,33,7,10905,el Baix Guinardó,Horta-Guinardó,,2.4,25768
31,2012,32,6,14992,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.3,34582
30,2012,31,6,23304,la Vila de Gràcia,Gràcia,,2.2,51025
29,2012,30,6,5448,la Salut,Gràcia,,2.4,13196
28,2012,29,6,3060,el Coll,Gràcia,,2.4,7222
27,2012,28,6,6519,Vallcarca i els Penitents,Gràcia,,2.4,15521
26,2012,27,5,12263,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.4,29618
25,2012,26,5,18566,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.5,46466
24,2012,25,5,9228,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.7,24552
23,2012,24,5,5576,les Tres Torres,Sarrià-Sant Gervasi,,2.9,16008
22,2012,23,5,8947,Sarrià,Sarrià-Sant Gervasi,,2.7,24362
21,2012,22,5,1527,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.9,4398
20,2012,21,4,4285,Pedralbes,Les Corts,,2.7,11778
19,2012,20,4,9675,la Maternitat i Sant Ramon,Les Corts,,2.5,23762
17,2012,18,3,17452,Sants,Sants-Montjuïc,,2.4,41530
72,2013,73,10,11510,la Verneda i la Pau,Sant Martí,,2.5,29111
71,2013,72,10,10649,Sant Martí de Provençals,Sant Martí,,2.4,26040
34,2013,35,7,15114,el Guinardó,Horta-Guinardó,,2.4,35792
49,2013,50,8,5919,les Roquetes,Nou Barris,,2.7,15836
48,2013,49,8,2801,Canyelles,Nou Barris,,2.5,7097
47,2013,48,8,6196,la Guineueta,Nou Barris,,2.4,15110
46,2013,47,8,938,Can Peguera,Nou Barris,,2.4,2272
45,2013,46,8,6107,el Turó de la Peira,Nou Barris,,2.5,15307
44,2013,45,8,10144,Porta,Nou Barris,,2.4,24427
50,2013,51,8,5067,Verdun,Nou Barris,,2.4,12296
43,2013,44,8,10446,Vilapicina i la Torre Llobeta,Nou Barris,,2.4,25527
41,2013,42,7,206,la Clota,Horta-Guinardó,,2.4,503
40,2013,41,7,2209,la Vall d'Hebron,Horta-Guinardó,,2.5,5543
39,2013,40,7,2128,Montbau,Horta-Guinardó,,2.4,5134
38,2013,39,7,2873,Sant Genís dels Agudells,Horta-Guinardó,,2.4,6914
37,2013,38,7,4753,la Teixonera,Horta-Guinardó,,2.4,11589
36,2013,37,7,12799,el Carmel,Horta-Guinardó,,2.5,31847
42,2013,43,7,10746,Horta,Horta-Guinardó,,2.5,26547
51,2013,52,8,10752,la Prosperitat,Nou Barris,,2.4,26320
52,2013,53,8,2958,la Trinitat Nova,Nou Barris,,2.5,7483
53,2013,54,8,727,Torre Baró,Nou Barris,,3.0,2205
68,2013,69,10,5402,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.4,13124
67,2013,68,10,13462,el Poblenou,Sant Martí,,2.5,33176
66,2013,67,10,3533,la Vila Olímpica del Poblenou,Sant Martí,,2.7,9367
65,2013,66,10,5992,el Parc i la Llacuna del Poblenou,Sant Martí,,2.4,14515
64,2013,65,10,10817,el Clot,Sant Martí,,2.5,27154
63,2013,64,10,16327,el Camp de l'Arpa del Clot,Sant Martí,,2.3,38025
62,2013,63,9,8935,Navas,Sant Andreu,,2.4,21791
61,2013,62,9,5930,el Congrés i els Indians,Sant Andreu,,2.4,14020
60,2013,61,9,11681,la Sagrera,Sant Andreu,,2.5,28827
59,2013,60,9,23280,Sant Andreu,Sant Andreu,,2.4,56285
58,2013,59,9,4667,el Bon Pastor,Sant Andreu,,2.7,12760
57,2013,58,9,945,Baró de Viver,Sant Andreu,,2.6,2438
56,2013,57,9,3530,la Trinitat Vella,Sant Andreu,,3.0,10418
55,2013,56,8,479,Vallbona,Nou Barris,,2.8,1330
54,2013,55,8,3581,Ciutat Meridiana,Nou Barris,,2.9,10527
35,2013,36,7,3706,la Font d'en Fargues,Horta-Guinardó,,2.6,9482
70,2013,71,10,8067,Provençals del Poblenou,Sant Martí,,2.5,20160
69,2013,70,10,8407,el Besòs i el Maresme,Sant Martí,,2.8,23184
32,2013,33,7,10860,el Baix Guinardó,Horta-Guinardó,,2.4,25673
13,2013,14,3,4323,la Font de la Guatlla,Sants-Montjuïc,,2.4,10294
12,2013,13,3,11706,la Marina de Port,Sants-Montjuïc,,2.6,30098
11,2013,12,3,427,la Marina del Prat Vermell,Sants-Montjuïc,,2.7,1138
10,2013,11,3,16210,el Poble Sec,Sants-Montjuïc,,2.5,41042
9,2013,10,2,16559,Sant Antoni,Eixample,,2.3,38290
8,2013,9,2,24663,la Nova Esquerra de l'Eixample,Eixample,,2.3,57816
14,2013,15,3,6620,Hostafrancs,Sants-Montjuïc,,2.4,15892
7,2013,8,2,18249,l'Antiga Esquerra de l'Eixample,Eixample,,2.3,41842
5,2013,6,2,22239,la Sagrada Família,Eixample,,2.3,51718
4,2013,5,2,13041,el Fort Pienc,Eixample,,2.4,31752
3,2013,4,1,10082,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.3,22817
2,2013,3,1,7031,la Barceloneta,Ciutat Vella,,2.2,15570
1,2013,2,1,6830,el Barri Gòtic,Ciutat Vella,,2.4,16325
0,2013,1,1,17384,el Raval,Ciutat Vella,,2.9,49622
6,2013,7,2,18483,la Dreta de l'Eixample,Eixample,,2.3,43433
33,2013,34,7,3762,Can Baró,Horta-Guinardó,,2.4,8916
15,2013,16,3,7503,la Bordeta,Sants-Montjuïc,,2.5,18446
17,2013,18,3,17365,Sants,Sants-Montjuïc,,2.4,41104
31,2013,32,6,14919,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.3,34406
30,2013,31,6,23082,la Vila de Gràcia,Gràcia,,2.2,50714
29,2013,30,6,5433,la Salut,Gràcia,,2.4,13208
28,2013,29,6,3021,el Coll,Gràcia,,2.4,7169
27,2013,28,6,6488,Vallcarca i els Penitents,Gràcia,,2.4,15479
26,2013,27,5,12116,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.4,28862
16,2013,17,3,10047,Sants - Badal,Sants-Montjuïc,,2.4,24339
25,2013,26,5,18553,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.5,46620
23,2013,24,5,5559,les Tres Torres,Sarrià-Sant Gervasi,,2.9,16140
22,2013,23,5,8888,Sarrià,Sarrià-Sant Gervasi,,2.8,24587
21,2013,22,5,1547,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.9,4491
20,2013,21,4,4255,Pedralbes,Les Corts,,2.8,11782
19,2013,20,4,9632,la Maternitat i Sant Ramon,Les Corts,,2.5,23653
18,2013,19,4,19019,les Corts,Les Corts,,2.4,46135
24,2013,25,5,9320,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.7,25234
72,2014,73,10,11476,la Verneda i la Pau,Sant Martí,,2.5,28903
0,2014,1,1,17000,el Raval,Ciutat Vella,,2.9,48471
71,2014,72,10,10623,Sant Martí de Provençals,Sant Martí,,2.4,26018
2,2014,3,1,6881,la Barceloneta,Ciutat Vella,,2.2,15181
52,2014,53,8,2925,la Trinitat Nova,Nou Barris,,2.6,7462
51,2014,52,8,10720,la Prosperitat,Nou Barris,,2.4,26171
50,2014,51,8,5056,Verdun,Nou Barris,,2.4,12239
49,2014,50,8,5869,les Roquetes,Nou Barris,,2.7,15668
48,2014,49,8,2810,Canyelles,Nou Barris,,2.5,7014
47,2014,48,8,6178,la Guineueta,Nou Barris,,2.4,15090
70,2014,71,10,8054,Provençals del Poblenou,Sant Martí,,2.5,20184
46,2014,47,8,933,Can Peguera,Nou Barris,,2.5,2288
44,2014,45,8,10175,Porta,Nou Barris,,2.4,24424
43,2014,44,8,10442,Vilapicina i la Torre Llobeta,Nou Barris,,2.4,25500
42,2014,43,7,10722,Horta,Horta-Guinardó,,2.5,26591
41,2014,42,7,226,la Clota,Horta-Guinardó,,2.3,529
40,2014,41,7,2187,la Vall d'Hebron,Horta-Guinardó,,2.5,5422
39,2014,40,7,2109,Montbau,Horta-Guinardó,,2.4,5082
45,2014,46,8,6189,el Turó de la Peira,Nou Barris,,2.5,15471
38,2014,39,7,2859,Sant Genís dels Agudells,Horta-Guinardó,,2.4,6865
54,2014,55,8,3588,Ciutat Meridiana,Nou Barris,,2.9,10356
56,2014,57,9,3506,la Trinitat Vella,Sant Andreu,,2.9,10268
1,2014,2,1,6638,el Barri Gòtic,Ciutat Vella,,2.4,15911
69,2014,70,10,8403,el Besòs i el Maresme,Sant Martí,,2.8,23191
68,2014,69,10,5438,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.5,13351
67,2014,68,10,13551,el Poblenou,Sant Martí,,2.5,33425
66,2014,67,10,3548,la Vila Olímpica del Poblenou,Sant Martí,,2.6,9391
65,2014,66,10,6087,el Parc i la Llacuna del Poblenou,Sant Martí,,2.4,14814
55,2014,56,8,473,Vallbona,Nou Barris,,2.9,1353
64,2014,65,10,10803,el Clot,Sant Martí,,2.5,27082
62,2014,63,9,8957,Navas,Sant Andreu,,2.5,21949
61,2014,62,9,5919,el Congrés i els Indians,Sant Andreu,,2.4,14076
60,2014,61,9,11690,la Sagrera,Sant Andreu,,2.5,28914
59,2014,60,9,23359,Sant Andreu,Sant Andreu,,2.4,56496
58,2014,59,9,4656,el Bon Pastor,Sant Andreu,,2.7,12758
57,2014,58,9,963,Baró de Viver,Sant Andreu,,2.6,2508
63,2014,64,10,16289,el Camp de l'Arpa del Clot,Sant Martí,,2.3,38130
37,2014,38,7,4729,la Teixonera,Horta-Guinardó,,2.4,11379
53,2014,54,8,894,Torre Baró,Nou Barris,,3.0,2682
11,2014,12,3,447,la Marina del Prat Vermell,Sants-Montjuïc,,2.6,1151
17,2014,18,3,17307,Sants,Sants-Montjuïc,,2.4,41102
15,2014,16,3,7505,la Bordeta,Sants-Montjuïc,,2.5,18451
14,2014,15,3,6579,Hostafrancs,Sants-Montjuïc,,2.4,15919
13,2014,14,3,4335,la Font de la Guatlla,Sants-Montjuïc,,2.4,10406
12,2014,13,3,11784,la Marina de Port,Sants-Montjuïc,,2.6,30286
10,2014,11,3,16092,el Poble Sec,Sants-Montjuïc,,2.5,40674
18,2014,19,4,19039,les Corts,Les Corts,,2.4,46205
9,2014,10,2,16459,Sant Antoni,Eixample,,2.3,38369
7,2014,8,2,18282,l'Antiga Esquerra de l'Eixample,Eixample,,2.3,41975
6,2014,7,2,18518,la Dreta de l'Eixample,Eixample,,2.4,43749
5,2014,6,2,22019,la Sagrada Família,Eixample,,2.3,51562
4,2014,5,2,12978,el Fort Pienc,Eixample,,2.4,31785
36,2014,37,7,12793,el Carmel,Horta-Guinardó,,2.5,31728
3,2014,4,1,10021,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.3,22674
8,2014,9,2,24561,la Nova Esquerra de l'Eixample,Eixample,,2.4,57863
19,2014,20,4,9609,la Maternitat i Sant Ramon,Les Corts,,2.5,23735
16,2014,17,3,10012,Sants - Badal,Sants-Montjuïc,,2.4,24245
21,2014,22,5,1568,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.9,4615
35,2014,36,7,3692,la Font d'en Fargues,Horta-Guinardó,,2.6,9467
34,2014,35,7,15109,el Guinardó,Horta-Guinardó,,2.4,35698
33,2014,34,7,3757,Can Baró,Horta-Guinardó,,2.4,8887
32,2014,33,7,10854,el Baix Guinardó,Horta-Guinardó,,2.4,25587
31,2014,32,6,14795,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.3,34146
20,2014,21,4,4224,Pedralbes,Les Corts,,2.8,11670
29,2014,30,6,5435,la Salut,Gràcia,,2.4,13256
28,2014,29,6,3045,el Coll,Gràcia,,2.4,7307
30,2014,31,6,22939,la Vila de Gràcia,Gràcia,,2.2,50680
26,2014,27,5,12148,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.4,29041
25,2014,26,5,18498,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.5,46648
24,2014,25,5,9336,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.7,25378
23,2014,24,5,5570,les Tres Torres,Sarrià-Sant Gervasi,,2.9,16381
22,2014,23,5,8879,Sarrià,Sarrià-Sant Gervasi,,2.8,24691
27,2014,28,6,6452,Vallcarca i els Penitents,Gràcia,,2.4,15454
22,2015,23,5,8843,Sarrià,Sarrià-Sant Gervasi,,2.78,24614
23,2015,24,5,5580,les Tres Torres,Sarrià-Sant Gervasi,,2.98,16624
27,2015,28,6,6461,Vallcarca i els Penitents,Gràcia,,2.4,15508
24,2015,25,5,9352,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.73,25511
25,2015,26,5,18516,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.54,46968
26,2015,27,5,12109,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.41,29149
28,2015,29,6,3069,el Coll,Gràcia,,2.39,7324
2,2015,3,1,6820,la Barceloneta,Ciutat Vella,,2.2,15036
30,2015,31,6,22827,la Vila de Gràcia,Gràcia,,2.22,50584
31,2015,32,6,14780,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.3,34047
32,2015,33,7,10775,el Baix Guinardó,Horta-Guinardó,,2.36,25476
33,2015,34,7,3776,Can Baró,Horta-Guinardó,,2.37,8938
34,2015,35,7,15229,el Guinardó,Horta-Guinardó,,2.37,36073
35,2015,36,7,3697,la Font d'en Fargues,Horta-Guinardó,,2.55,9443
21,2015,22,5,1565,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.96,4635
29,2015,30,6,5397,la Salut,Gràcia,,2.45,13213
20,2015,21,4,4225,Pedralbes,Les Corts,,2.78,11763
4,2015,5,2,12880,el Fort Pienc,Eixample,,2.46,31645
18,2015,19,4,19004,les Corts,Les Corts,,2.43,46086
3,2015,4,1,9869,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.26,22305
5,2015,6,2,21850,la Sagrada Família,Eixample,,2.35,51347
6,2015,7,2,18308,la Dreta de l'Eixample,Eixample,,2.37,43344
7,2015,8,2,18081,l'Antiga Esquerra de l'Eixample,Eixample,,2.31,41696
8,2015,9,2,24554,la Nova Esquerra de l'Eixample,Eixample,,2.35,57711
9,2015,10,2,16402,Sant Antoni,Eixample,,2.33,38248
19,2015,20,4,9659,la Maternitat i Sant Ramon,Les Corts,,2.47,23845
10,2015,11,3,15969,el Poble Sec,Sants-Montjuïc,,2.52,40217
12,2015,13,3,11772,la Marina de Port,Sants-Montjuïc,,2.58,30374
13,2015,14,3,4280,la Font de la Guatlla,Sants-Montjuïc,,2.42,10355
14,2015,15,3,6554,Hostafrancs,Sants-Montjuïc,,2.41,15812
15,2015,16,3,7518,la Bordeta,Sants-Montjuïc,,2.45,18430
16,2015,17,3,9933,Sants - Badal,Sants-Montjuïc,,2.42,24085
17,2015,18,3,17203,Sants,Sants-Montjuïc,,2.38,40889
11,2015,12,3,442,la Marina del Prat Vermell,Sants-Montjuïc,,2.59,1145
36,2015,37,7,12705,el Carmel,Horta-Guinardó,,2.48,31498
71,2015,72,10,10589,Sant Martí de Provençals,Sant Martí,,2.46,26005
38,2015,39,7,2795,Sant Genís dels Agudells,Horta-Guinardó,,2.39,6693
59,2015,60,9,23363,Sant Andreu,Sant Andreu,,2.43,56682
60,2015,61,9,11730,la Sagrera,Sant Andreu,,2.47,29020
61,2015,62,9,5916,el Congrés i els Indians,Sant Andreu,,2.39,14148
62,2015,63,9,8960,Navas,Sant Andreu,,2.47,22110
63,2015,64,10,16234,el Camp de l'Arpa del Clot,Sant Martí,,2.35,38202
64,2015,65,10,10778,el Clot,Sant Martí,,2.51,27013
65,2015,66,10,6033,el Parc i la Llacuna del Poblenou,Sant Martí,,2.45,14764
66,2015,67,10,3501,la Vila Olímpica del Poblenou,Sant Martí,,2.65,9261
67,2015,68,10,13567,el Poblenou,Sant Martí,,2.48,33579
68,2015,69,10,5412,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.47,13352
69,2015,70,10,8418,el Besòs i el Maresme,Sant Martí,,2.74,23026
70,2015,71,10,8093,Provençals del Poblenou,Sant Martí,,2.5,20244
72,2015,73,10,11409,la Verneda i la Pau,Sant Martí,,2.51,28678
73,2015,99,99,0,No consta,No consta,,0.0,1
1,2015,2,1,6461,el Barri Gòtic,Ciutat Vella,,2.36,15269
58,2015,59,9,4618,el Bon Pastor,Sant Andreu,,2.74,12655
57,2015,58,9,953,Baró de Viver,Sant Andreu,,2.6,2482
56,2015,57,9,3471,la Trinitat Vella,Sant Andreu,,2.94,10210
55,2015,56,8,478,Vallbona,Nou Barris,,2.83,1351
39,2015,40,7,2106,Montbau,Horta-Guinardó,,2.41,5070
40,2015,41,7,2277,la Vall d'Hebron,Horta-Guinardó,,2.47,5613
41,2015,42,7,249,la Clota,Horta-Guinardó,,2.28,568
42,2015,43,7,10661,Horta,Horta-Guinardó,,2.5,26624
43,2015,44,8,10491,Vilapicina i la Torre Llobeta,Nou Barris,,2.43,25499
44,2015,45,8,10143,Porta,Nou Barris,,2.42,24536
45,2015,46,8,6153,el Turó de la Peira,Nou Barris,,2.51,15420
37,2015,38,7,4687,la Teixonera,Horta-Guinardó,,2.42,11322
46,2015,47,8,926,Can Peguera,Nou Barris,,2.45,2267
48,2015,49,8,2803,Canyelles,Nou Barris,,2.48,6946
49,2015,50,8,5836,les Roquetes,Nou Barris,,2.66,15523
50,2015,51,8,5037,Verdun,Nou Barris,,2.43,12258
51,2015,52,8,10726,la Prosperitat,Nou Barris,,2.44,26184
52,2015,53,8,2879,la Trinitat Nova,Nou Barris,,2.56,7362
53,2015,54,8,935,Torre Baró,Nou Barris,,3.02,2828
54,2015,55,8,3543,Ciutat Meridiana,Nou Barris,,2.87,10156
47,2015,48,8,6164,la Guineueta,Nou Barris,,2.45,15074
0,2015,1,1,16776,el Raval,Ciutat Vella,,2.84,47617
35,2016,36,7,3689,la Font d'en Fargues,Horta-Guinardó,,2.55,9402
1,2016,2,1,6450,el Barri Gòtic,Ciutat Vella,,2.44,15729
21,2016,22,5,1563,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.97,4641
22,2016,23,5,8867,Sarrià,Sarrià-Sant Gervasi,,2.8,24810
23,2016,24,5,5586,les Tres Torres,Sarrià-Sant Gervasi,,2.95,16486
24,2016,25,5,9351,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.75,25761
25,2016,26,5,18589,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.54,47156
26,2016,27,5,12157,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.41,29318
20,2016,21,4,4191,Pedralbes,Les Corts,,2.83,11864
27,2016,28,6,6415,Vallcarca i els Penitents,Gràcia,,2.41,15448
29,2016,30,6,5392,la Salut,Gràcia,,2.43,13123
30,2016,31,6,22753,la Vila de Gràcia,Gràcia,,2.23,50670
31,2016,32,6,14839,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.31,34275
32,2016,33,7,10774,el Baix Guinardó,Horta-Guinardó,,2.37,25563
33,2016,34,7,3779,Can Baró,Horta-Guinardó,,2.37,8969
34,2016,35,7,15261,el Guinardó,Horta-Guinardó,,2.37,36176
28,2016,29,6,3079,el Coll,Gràcia,,2.4,7391
72,2016,73,10,11413,la Verneda i la Pau,Sant Martí,,2.51,28673
19,2016,20,4,9672,la Maternitat i Sant Ramon,Les Corts,,2.47,23868
17,2016,18,3,17151,Sants,Sants-Montjuïc,,2.38,40831
3,2016,4,1,9954,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.25,22380
4,2016,5,2,12805,el Fort Pienc,Eixample,,2.48,31693
5,2016,6,2,21844,la Sagrada Família,Eixample,,2.35,51349
6,2016,7,2,18391,la Dreta de l'Eixample,Eixample,,2.38,43715
7,2016,8,2,18104,l'Antiga Esquerra de l'Eixample,Eixample,,2.31,41872
8,2016,9,2,24515,la Nova Esquerra de l'Eixample,Eixample,,2.35,57676
18,2016,19,4,18908,les Corts,Les Corts,,2.43,45976
9,2016,10,2,16383,Sant Antoni,Eixample,,2.33,38182
11,2016,12,3,442,la Marina del Prat Vermell,Sants-Montjuïc,,2.59,1146
12,2016,13,3,11780,la Marina de Port,Sants-Montjuïc,,2.58,30397
13,2016,14,3,4266,la Font de la Guatlla,Sants-Montjuïc,,2.42,10316
14,2016,15,3,6611,Hostafrancs,Sants-Montjuïc,,2.41,15915
15,2016,16,3,7530,la Bordeta,Sants-Montjuïc,,2.46,18518
16,2016,17,3,9919,Sants - Badal,Sants-Montjuïc,,2.41,23935
10,2016,11,3,15983,el Poble Sec,Sants-Montjuïc,,2.51,40104
36,2016,37,7,12706,el Carmel,Horta-Guinardó,,2.47,31377
37,2016,38,7,4673,la Teixonera,Horta-Guinardó,,2.41,11281
38,2016,39,7,2826,Sant Genís dels Agudells,Horta-Guinardó,,2.42,6828
58,2016,59,9,4460,el Bon Pastor,Sant Andreu,,2.82,12594
59,2016,60,9,23363,Sant Andreu,Sant Andreu,,2.43,56695
60,2016,61,9,11696,la Sagrera,Sant Andreu,,2.45,28710
61,2016,62,9,5917,el Congrés i els Indians,Sant Andreu,,2.37,14051
62,2016,63,9,8964,Navas,Sant Andreu,,2.47,22097
63,2016,64,10,16270,el Camp de l'Arpa del Clot,Sant Martí,,2.35,38252
57,2016,58,9,963,Baró de Viver,Sant Andreu,,2.61,2511
64,2016,65,10,10767,el Clot,Sant Martí,,2.5,26928
66,2016,67,10,3520,la Vila Olímpica del Poblenou,Sant Martí,,2.66,9346
67,2016,68,10,13562,el Poblenou,Sant Martí,,2.48,33621
68,2016,69,10,5427,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.48,13455
69,2016,70,10,8267,el Besòs i el Maresme,Sant Martí,,2.73,22609
70,2016,71,10,8139,Provençals del Poblenou,Sant Martí,,2.52,20516
71,2016,72,10,10584,Sant Martí de Provençals,Sant Martí,,2.46,26031
65,2016,66,10,6037,el Parc i la Llacuna del Poblenou,Sant Martí,,2.46,14861
56,2016,57,9,3473,la Trinitat Vella,Sant Andreu,,2.89,10048
55,2016,56,8,470,Vallbona,Nou Barris,,2.88,1354
54,2016,55,8,3544,Ciutat Meridiana,Nou Barris,,2.84,10055
39,2016,40,7,2112,Montbau,Horta-Guinardó,,2.42,5101
40,2016,41,7,2312,la Vall d'Hebron,Horta-Guinardó,,2.46,5687
41,2016,42,7,253,la Clota,Horta-Guinardó,,2.33,590
42,2016,43,7,10573,Horta,Horta-Guinardó,,2.52,26597
43,2016,44,8,10493,Vilapicina i la Torre Llobeta,Nou Barris,,2.43,25522
44,2016,45,8,10111,Porta,Nou Barris,,2.43,24567
45,2016,46,8,6164,el Turó de la Peira,Nou Barris,,2.49,15373
46,2016,47,8,913,Can Peguera,Nou Barris,,2.43,2216
47,2016,48,8,6160,la Guineueta,Nou Barris,,2.44,15050
