,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Població,Índex RFD Barcelona = 100
44,2011,8,Nou Barris,45,Porta,24909,63.9
42,2011,7,Horta-Guinardó,43,Horta,27312,78.2
41,2011,7,Horta-Guinardó,42,la Clota,472,79.5
40,2011,7,Horta-Guinardó,41,la Vall d'Hebron,5580,89.1
39,2011,7,Horta-Guinardó,40,Montbau,5191,71.1
38,2011,7,Horta-Guinardó,39,Sant Genís dels Agudells,6977,81.2
37,2011,7,Horta-Guinardó,38,la Teixonera,11420,69.0
43,2011,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25515,72.3
52,2011,8,Nou Barris,53,la Trinitat Nova,7682,40.3
53,2011,8,Nou Barris,54,Torre Baró,2193,54.5
54,2011,8,Nou Barris,55,Ciutat Meridiana,10832,39.9
69,2011,10,Sant Martí,70,el Besòs i el Maresme,23998,52.9
68,2011,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,12289,122.3
67,2011,10,Sant Martí,68,el Poblenou,32208,89.2
66,2011,10,Sant Martí,67,la Vila Olímpica del Poblenou,9191,146.0
65,2011,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,13772,90.9
64,2011,10,Sant Martí,65,el Clot,27114,80.0
63,2011,10,Sant Martí,64,el Camp de l'Arpa del Clot,37957,82.3
62,2011,9,Sant Andreu,63,Navas,21758,74.8
61,2011,9,Sant Andreu,62,el Congrés i els Indians,14063,72.9
60,2011,9,Sant Andreu,61,la Sagrera,29136,76.7
59,2011,9,Sant Andreu,60,Sant Andreu,55902,78.0
58,2011,9,Sant Andreu,59,el Bon Pastor,13374,63.0
57,2011,9,Sant Andreu,58,Baró de Viver,2343,50.8
56,2011,9,Sant Andreu,57,la Trinitat Vella,10372,49.4
55,2011,8,Nou Barris,56,Vallbona,1381,53.2
36,2011,7,Horta-Guinardó,37,el Carmel,32425,62.4
70,2011,10,Sant Martí,71,Provençals del Poblenou,19732,84.3
35,2011,7,Horta-Guinardó,36,la Font d'en Fargues,9495,97.0
34,2011,7,Horta-Guinardó,35,el Guinardó,35673,85.8
14,2011,3,Sants-Montjuïc,15,Hostafrancs,15955,76.1
13,2011,3,Sants-Montjuïc,14,la Font de la Guatlla,10222,74.6
12,2011,3,Sants-Montjuïc,13,la Marina de Port,30290,70.8
11,2011,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1065,53.0
10,2011,3,Sants-Montjuïc,11,el Poble Sec,40704,73.0
9,2011,2,Eixample,10,Sant Antoni,38130,95.9
15,2011,3,Sants-Montjuïc,16,la Bordeta,18431,71.1
8,2011,2,Eixample,9,la Nova Esquerra de l'Eixample,57659,107.7
6,2011,2,Eixample,7,la Dreta de l'Eixample,43206,151.7
5,2011,2,Eixample,6,la Sagrada Família,52000,96.1
4,2011,2,Eixample,5,el Fort Pienc,32348,97.9
3,2011,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22632,86.1
2,2011,1,Ciutat Vella,3,la Barceloneta,15674,73.1
1,2011,1,Ciutat Vella,2,el Barri Gòtic,17257,98.8
7,2011,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41653,121.3
16,2011,3,Sants-Montjuïc,17,Sants - Badal,24431,77.1
17,2011,3,Sants-Montjuïc,18,Sants,41666,86.4
18,2011,4,Les Corts,19,les Corts,46953,126.9
33,2011,7,Horta-Guinardó,34,Can Baró,8984,74.4
32,2011,7,Horta-Guinardó,33,el Baix Guinardó,25972,89.9
31,2011,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34497,98.2
30,2011,6,Gràcia,31,la Vila de Gràcia,51037,106.4
29,2011,6,Gràcia,30,la Salut,13199,109.8
28,2011,6,Gràcia,29,el Coll,7296,97.3
27,2011,6,Gràcia,28,Vallcarca i els Penitents,15396,114.4
26,2011,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29941,138.0
25,2011,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46207,177.7
24,2011,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,24432,190.7
23,2011,5,Sarrià-Sant Gervasi,24,les Tres Torres,15700,216.4
22,2011,5,Sarrià-Sant Gervasi,23,Sarrià,24153,180.7
21,2011,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4355,165.9
20,2011,4,Les Corts,21,Pedralbes,11629,246.0
19,2011,4,Les Corts,20,la Maternitat i Sant Ramon,23758,110.6
73,2011,99,No consta,99,No consta,70,-
71,2011,10,Sant Martí,72,Sant Martí de Provençals,26178,65.0
71,2012,10,Sant Martí,72,Sant Martí de Provençals,26152,63.5
0,2012,1,Ciutat Vella,1,el Raval,49844,65.4
52,2012,8,Nou Barris,53,la Trinitat Nova,7692,38.9
51,2012,8,Nou Barris,52,la Prosperitat,26515,60.0
50,2012,8,Nou Barris,51,Verdun,12407,49.5
49,2012,8,Nou Barris,50,les Roquetes,16018,52.8
48,2012,8,Nou Barris,49,Canyelles,7144,61.1
47,2012,8,Nou Barris,48,la Guineueta,15143,56.1
53,2012,8,Nou Barris,54,Torre Baró,2178,52.4
46,2012,8,Nou Barris,47,Can Peguera,2242,53.1
44,2012,8,Nou Barris,45,Porta,24772,60.5
43,2012,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25584,71.7
42,2012,7,Horta-Guinardó,43,Horta,26816,80.0
41,2012,7,Horta-Guinardó,42,la Clota,456,78.5
40,2012,7,Horta-Guinardó,41,la Vall d'Hebron,5545,90.3
39,2012,7,Horta-Guinardó,40,Montbau,5090,76.4
45,2012,8,Nou Barris,46,el Turó de la Peira,15428,56.4
38,2012,7,Horta-Guinardó,39,Sant Genís dels Agudells,6922,79.6
54,2012,8,Nou Barris,55,Ciutat Meridiana,10709,37.5
56,2012,9,Sant Andreu,57,la Trinitat Vella,10487,52.2
70,2012,10,Sant Martí,71,Provençals del Poblenou,19952,80.4
69,2012,10,Sant Martí,70,el Besòs i el Maresme,23732,52.4
68,2012,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,12701,127.4
67,2012,10,Sant Martí,68,el Poblenou,32816,89.8
66,2012,10,Sant Martí,67,la Vila Olímpica del Poblenou,9322,146.6
65,2012,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14147,88.9
55,2012,8,Nou Barris,56,Vallbona,1329,52.6
64,2012,10,Sant Martí,65,el Clot,27201,78.2
62,2012,9,Sant Andreu,63,Navas,21728,77.0
61,2012,9,Sant Andreu,62,el Congrés i els Indians,14112,72.3
60,2012,9,Sant Andreu,61,la Sagrera,29038,72.9
59,2012,9,Sant Andreu,60,Sant Andreu,56204,77.6
58,2012,9,Sant Andreu,59,el Bon Pastor,12990,67.3
57,2012,9,Sant Andreu,58,Baró de Viver,2393,52.4
63,2012,10,Sant Martí,64,el Camp de l'Arpa del Clot,38232,81.2
37,2012,7,Horta-Guinardó,38,la Teixonera,11410,71.3
35,2012,7,Horta-Guinardó,36,la Font d'en Fargues,9498,107.5
34,2012,7,Horta-Guinardó,35,el Guinardó,35697,89.8
14,2012,3,Sants-Montjuïc,15,Hostafrancs,16094,72.1
13,2012,3,Sants-Montjuïc,14,la Font de la Guatlla,10236,69.7
12,2012,3,Sants-Montjuïc,13,la Marina de Port,30256,67.4
11,2012,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1046,45.9
10,2012,3,Sants-Montjuïc,11,el Poble Sec,41380,80.7
9,2012,2,Eixample,10,Sant Antoni,38277,94.8
15,2012,3,Sants-Montjuïc,16,la Bordeta,18498,72.9
8,2012,2,Eixample,9,la Nova Esquerra de l'Eixample,57760,105.9
6,2012,2,Eixample,7,la Dreta de l'Eixample,43436,150.1
5,2012,2,Eixample,6,la Sagrada Família,52007,95.3
4,2012,2,Eixample,5,el Fort Pienc,32225,98.0
3,2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22873,89.3
2,2012,1,Ciutat Vella,3,la Barceloneta,15745,69.0
1,2012,1,Ciutat Vella,2,el Barri Gòtic,16754,99.7
7,2012,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41887,119.2
16,2012,3,Sants-Montjuïc,17,Sants - Badal,24574,74.3
17,2012,3,Sants-Montjuïc,18,Sants,41530,85.2
18,2012,4,Les Corts,19,les Corts,46698,129.6
33,2012,7,Horta-Guinardó,34,Can Baró,8990,81.4
32,2012,7,Horta-Guinardó,33,el Baix Guinardó,25768,85.3
31,2012,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34582,98.6
30,2012,6,Gràcia,31,la Vila de Gràcia,51025,102.6
29,2012,6,Gràcia,30,la Salut,13196,117.4
28,2012,6,Gràcia,29,el Coll,7222,92.9
27,2012,6,Gràcia,28,Vallcarca i els Penitents,15521,113.7
26,2012,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29618,138.2
25,2012,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46466,176.0
24,2012,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,24552,187.9
23,2012,5,Sarrià-Sant Gervasi,24,les Tres Torres,16008,215.0
22,2012,5,Sarrià-Sant Gervasi,23,Sarrià,24362,189.8
21,2012,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4398,177.5
20,2012,4,Les Corts,21,Pedralbes,11778,240.7
19,2012,4,Les Corts,20,la Maternitat i Sant Ramon,23762,109.3
73,2012,99,No consta,99,No consta,145,-
36,2012,7,Horta-Guinardó,37,el Carmel,32323,58.5
72,2012,10,Sant Martí,73,la Verneda i la Pau,29201,56.8
72,2013,10,Sant Martí,73,la Verneda i la Pau,29103,56.1
19,2013,4,Les Corts,20,la Maternitat i Sant Ramon,23653,118.7
20,2013,4,Les Corts,21,Pedralbes,11784,243.9
21,2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4491,177.8
22,2013,5,Sarrià-Sant Gervasi,23,Sarrià,24582,196.1
23,2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,16087,224.0
24,2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25251,189.6
25,2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46628,195.6
26,2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28883,142.2
27,2013,6,Gràcia,28,Vallcarca i els Penitents,15479,103.9
28,2013,6,Gràcia,29,el Coll,7170,83.1
29,2013,6,Gràcia,30,la Salut,13223,113.5
30,2013,6,Gràcia,31,la Vila de Gràcia,50730,109.5
31,2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34429,101.0
32,2013,7,Horta-Guinardó,33,el Baix Guinardó,25676,83.6
33,2013,7,Horta-Guinardó,34,Can Baró,8916,74.2
18,2013,4,Les Corts,19,les Corts,46126,124.8
34,2013,7,Horta-Guinardó,35,el Guinardó,35790,86.4
16,2013,3,Sants-Montjuïc,17,Sants - Badal,24344,76.6
14,2013,3,Sants-Montjuïc,15,Hostafrancs,15894,77.2
0,2013,1,Ciutat Vella,1,el Raval,49225,60.3
73,2013,99,No consta,99,No consta,205,-
1,2013,1,Ciutat Vella,2,el Barri Gòtic,16327,103.6
2,2013,1,Ciutat Vella,3,la Barceloneta,15571,82.1
3,2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22821,91.2
4,2013,2,Eixample,5,el Fort Pienc,31754,99.0
5,2013,2,Eixample,6,la Sagrada Família,51725,97.5
6,2013,2,Eixample,7,la Dreta de l'Eixample,43439,165.7
7,2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41843,125.1
8,2013,2,Eixample,9,la Nova Esquerra de l'Eixample,57828,108.6
9,2013,2,Eixample,10,Sant Antoni,38299,102.5
10,2013,3,Sants-Montjuïc,11,el Poble Sec,41060,71.0
11,2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1117,59.1
12,2013,3,Sants-Montjuïc,13,la Marina de Port,30099,70.9
13,2013,3,Sants-Montjuïc,14,la Font de la Guatlla,10307,77.8
15,2013,3,Sants-Montjuïc,16,la Bordeta,18449,71.4
35,2013,7,Horta-Guinardó,36,la Font d'en Fargues,9482,108.6
17,2013,3,Sants-Montjuïc,18,Sants,41104,82.6
37,2013,7,Horta-Guinardó,38,la Teixonera,11257,69.0
57,2013,9,Sant Andreu,58,Baró de Viver,2438,61.9
58,2013,9,Sant Andreu,59,el Bon Pastor,12734,71.8
59,2013,9,Sant Andreu,60,Sant Andreu,56280,79.3
60,2013,9,Sant Andreu,61,la Sagrera,28827,74.3
61,2013,9,Sant Andreu,62,el Congrés i els Indians,14015,73.7
63,2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,38035,76.5
64,2013,10,Sant Martí,65,el Clot,27154,76.9
65,2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14513,93.7
66,2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,9367,151.6
67,2013,10,Sant Martí,68,el Poblenou,33176,89.6
68,2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13125,150.1
69,2013,10,Sant Martí,70,el Besòs i el Maresme,23202,53.0
70,2013,10,Sant Martí,71,Provençals del Poblenou,20158,76.1
71,2013,10,Sant Martí,72,Sant Martí de Provençals,26040,66.2
36,2013,7,Horta-Guinardó,37,el Carmel,32181,54.4
56,2013,9,Sant Andreu,57,la Trinitat Vella,10418,53.5
55,2013,8,Nou Barris,56,Vallbona,1330,41.7
62,2013,9,Sant Andreu,63,Navas,21792,75.4
39,2013,7,Horta-Guinardó,40,Montbau,5134,71.5
38,2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,6918,74.8
54,2013,8,Nou Barris,55,Ciutat Meridiana,10537,43.2
40,2013,7,Horta-Guinardó,41,la Vall d'Hebron,5543,87.7
41,2013,7,Horta-Guinardó,42,la Clota,504,85.1
42,2013,7,Horta-Guinardó,43,Horta,26543,83.1
43,2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25530,71.1
45,2013,8,Nou Barris,46,el Turó de la Peira,15307,51.6
46,2013,8,Nou Barris,47,Can Peguera,2261,53.1
44,2013,8,Nou Barris,45,Porta,24442,61.3
48,2013,8,Nou Barris,49,Canyelles,7097,57.0
49,2013,8,Nou Barris,50,les Roquetes,15836,50.4
50,2013,8,Nou Barris,51,Verdun,12296,55.6
51,2013,8,Nou Barris,52,la Prosperitat,26320,56.3
52,2013,8,Nou Barris,53,la Trinitat Nova,7533,38.5
53,2013,8,Nou Barris,54,Torre Baró,2201,44.7
47,2013,8,Nou Barris,48,la Guineueta,15152,54.5
53,2014,8,Nou Barris,54,Torre Baró,2682,45.6
48,2014,8,Nou Barris,49,Canyelles,7014,61.0
52,2014,8,Nou Barris,53,la Trinitat Nova,7462,34.7
51,2014,8,Nou Barris,52,la Prosperitat,26171,53.7
50,2014,8,Nou Barris,51,Verdun,12239,50.8
49,2014,8,Nou Barris,50,les Roquetes,15668,50.8
47,2014,8,Nou Barris,48,la Guineueta,15090,56.0
39,2014,7,Horta-Guinardó,40,Montbau,5082,70.0
45,2014,8,Nou Barris,46,el Turó de la Peira,15471,50.6
44,2014,8,Nou Barris,45,Porta,24424,58.3
43,2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25500,64.0
42,2014,7,Horta-Guinardó,43,Horta,26591,82.2
41,2014,7,Horta-Guinardó,42,la Clota,529,90.1
40,2014,7,Horta-Guinardó,41,la Vall d'Hebron,5422,86.9
54,2014,8,Nou Barris,55,Ciutat Meridiana,10356,39.2
46,2014,8,Nou Barris,47,Can Peguera,2288,51.0
55,2014,8,Nou Barris,56,Vallbona,1353,39.9
73,2014,99,No consta,99,No consta,1,-
57,2014,9,Sant Andreu,58,Baró de Viver,2508,60.5
38,2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,6865,80.0
72,2014,10,Sant Martí,73,la Verneda i la Pau,28903,57.2
71,2014,10,Sant Martí,72,Sant Martí de Provençals,26018,67.6
70,2014,10,Sant Martí,71,Provençals del Poblenou,20184,91.7
69,2014,10,Sant Martí,70,el Besòs i el Maresme,23191,58.9
68,2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13351,168.8
67,2014,10,Sant Martí,68,el Poblenou,33425,95.4
56,2014,9,Sant Andreu,57,la Trinitat Vella,10268,45.9
66,2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,9391,150.8
64,2014,10,Sant Martí,65,el Clot,27082,81.0
63,2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,38130,80.9
62,2014,9,Sant Andreu,63,Navas,21949,83.3
61,2014,9,Sant Andreu,62,el Congrés i els Indians,14076,72.7
60,2014,9,Sant Andreu,61,la Sagrera,28914,74.9
59,2014,9,Sant Andreu,60,Sant Andreu,56496,76.6
58,2014,9,Sant Andreu,59,el Bon Pastor,12758,59.6
65,2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14814,88.6
37,2014,7,Horta-Guinardó,38,la Teixonera,11379,69.6
36,2014,7,Horta-Guinardó,37,el Carmel,31728,56.6
35,2014,7,Horta-Guinardó,36,la Font d'en Fargues,9467,102.0
15,2014,3,Sants-Montjuïc,16,la Bordeta,18451,76.0
14,2014,3,Sants-Montjuïc,15,Hostafrancs,15919,76.8
13,2014,3,Sants-Montjuïc,14,la Font de la Guatlla,10406,77.6
12,2014,3,Sants-Montjuïc,13,la Marina de Port,30286,72.0
11,2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1151,39.4
10,2014,3,Sants-Montjuïc,11,el Poble Sec,40674,66.3
9,2014,2,Eixample,10,Sant Antoni,38369,97.8
8,2014,2,Eixample,9,la Nova Esquerra de l'Eixample,57863,109.1
7,2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41975,127.8
6,2014,2,Eixample,7,la Dreta de l'Eixample,43749,165.3
5,2014,2,Eixample,6,la Sagrada Família,51562,92.4
4,2014,2,Eixample,5,el Fort Pienc,31785,104.5
3,2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22674,92.5
2,2014,1,Ciutat Vella,3,la Barceloneta,15181,84.5
1,2014,1,Ciutat Vella,2,el Barri Gòtic,15911,98.5
16,2014,3,Sants-Montjuïc,17,Sants - Badal,24245,79.6
17,2014,3,Sants-Montjuïc,18,Sants,41102,85.8
0,2014,1,Ciutat Vella,1,el Raval,48471,65.9
19,2014,4,Les Corts,20,la Maternitat i Sant Ramon,23735,112.6
18,2014,4,Les Corts,19,les Corts,46205,125.4
34,2014,7,Horta-Guinardó,35,el Guinardó,35698,82.0
33,2014,7,Horta-Guinardó,34,Can Baró,8887,77.4
32,2014,7,Horta-Guinardó,33,el Baix Guinardó,25587,86.6
31,2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34146,103.7
29,2014,6,Gràcia,30,la Salut,13256,107.3
28,2014,6,Gràcia,29,el Coll,7307,81.6
30,2014,6,Gràcia,31,la Vila de Gràcia,50680,118.1
26,2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29041,140.2
25,2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46648,192.1
24,2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25378,191.8
23,2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,16381,217.8
22,2014,5,Sarrià-Sant Gervasi,23,Sarrià,24691,195.2
21,2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4615,162.8
20,2014,4,Les Corts,21,Pedralbes,11670,251.7
27,2014,6,Gràcia,28,Vallcarca i els Penitents,15454,101.6
26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29149,141.0
21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4635,151.7
22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,24614,199.1
23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,16624,214.1
24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25511,188.9
25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46968,205.1
27,2015,6,Gràcia,28,Vallcarca i els Penitents,15508,111.2
35,2015,7,Horta-Guinardó,36,la Font d'en Fargues,9443,95.2
29,2015,6,Gràcia,30,la Salut,13213,114.4
30,2015,6,Gràcia,31,la Vila de Gràcia,50584,106.3
31,2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34047,103.0
32,2015,7,Horta-Guinardó,33,el Baix Guinardó,25476,90.4
33,2015,7,Horta-Guinardó,34,Can Baró,8938,88.1
34,2015,7,Horta-Guinardó,35,el Guinardó,36073,82.7
20,2015,4,Les Corts,21,Pedralbes,11763,250.5
28,2015,6,Gràcia,29,el Coll,7324,89.0
19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,23845,109.9
11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1145,36.9
17,2015,3,Sants-Montjuïc,18,Sants,40889,88.2
36,2015,7,Horta-Guinardó,37,el Carmel,31498,56.9
2,2015,1,Ciutat Vella,3,la Barceloneta,15036,76.6
3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22305,96.4
4,2015,2,Eixample,5,el Fort Pienc,31645,104.8
5,2015,2,Eixample,6,la Sagrada Família,51347,95.8
6,2015,2,Eixample,7,la Dreta de l'Eixample,43344,165.8
7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41696,128.9
8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,57711,103.8
9,2015,2,Eixample,10,Sant Antoni,38248,98.6
10,2015,3,Sants-Montjuïc,11,el Poble Sec,40217,74.3
12,2015,3,Sants-Montjuïc,13,la Marina de Port,30374,70.4
13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,10355,83.2
14,2015,3,Sants-Montjuïc,15,Hostafrancs,15812,82.2
15,2015,3,Sants-Montjuïc,16,la Bordeta,18430,74.3
16,2015,3,Sants-Montjuïc,17,Sants - Badal,24085,77.0
